Risk ID,Category,Risk Description,Depth Start (ft),Depth End (ft),Formation,Probability,Impact,Risk Rating,Mitigation Strategy,Contingency Plan,Status
DR-011,Well Control,Unexpected high-pressure zone,10000,10500,Wolfcamp C,Low,Critical,High,"Careful monitoring of gas trends and connection gas, maintain adequate mud weight","Follow well control procedures, increase mud weight, circulate bottoms up more frequently",Active
DR-012,Well Control,Ballooning/breathing in fractured formations,10700,11000,Wolfcamp C-D,Medium,Medium,Medium,"Distinguish between ballooning and kicks, train crew on recognition","Monitor flow carefully during connections, document breathing volumes",Active
DR-013,Hole Cleaning,Poor cuttings removal in high angle section,8500,12550,Build and Lateral,Medium,Medium,Medium,"Optimize flow rate, rotation, and ROP, conduct regular wiper trips","Circulate with high viscosity pills, adjust drilling parameters, dedicated wiper trips",Active
DR-014,Hole Cleaning,Pack-off around BHA in lateral section,10000,12550,Lateral Section,Medium,High,High,"Optimize hole cleaning practices, monitor ECD, torque, and drag trends","Work through with controlled RPM and flow, conduct short trips as necessary",Active
DR-015,Directional Control,Inability to maintain required DLS in build section,5000,8000,Build Section,Low,Medium,Low,"Optimize BHA design, drilling parameters, regular surveys","Consider alternative directional tools, adjust trajectory if necessary",Active
DR-016,Directional Control,Azimuth control issues in lateral,9000,12550,Lateral Section,Medium,Low,Low,"Monitor surveys carefully, adjust steering as needed, use rotary when possible","Accept reasonable deviations if within overall well plan tolerances",Active
DR-017,Formation Evaluation,Poor logging data quality due to hole conditions,8000,12550,All Sections,Low,Medium,Low,"Ensure proper hole conditioning before logging, LWD redundancy","Repeat critical measurements, consider wireline logs if necessary",Active
DR-018,Formation Evaluation,Incorrect formation depth estimation,11500,12550,Target Zone,Low,Medium,Low,"Use offset well correlation, real-time gamma monitoring","Adjust TD based on LWD data, consider pilot hole if necessary",Active
DR-019,Geo-hazards,Faults/fracture zones,9800,10100,Wolfcamp B-C,Low,Medium,Low,"Review seismic and offset well data, monitor for losses and gas shows","Adjust mud weight, be prepared for sudden lithology changes, potential cement plugs",Active
DR-020,Geo-hazards,H2S zones,11200,11500,Wolfcamp D,Low,High,Medium,"H2S contingency plan in place, H2S scavengers in mud, crew training","Implement H2S safety protocols, ensure PPE and monitoring equipment",Active
DR-021,Environmental,Surface spill of drilling fluids,0,0,Surface,Low,Medium,Low,"Proper containment systems, regular inspection, trained personnel","Spill response plan, containment equipment readily available",Active
DR-022,Environmental,Groundwater protection during drilling,0,3000,Surface/Intermediate,Low,High,Medium,"Proper surface casing design and cementing, mud program compliance","Remedial cementing if necessary, contingency casing point",Complete
DR-023,Operational,Exceeding casing setting depth,12550,12650,Target Zone,Medium,Medium,Medium,"Careful depth control, frequent surveys, communication with geologist","Well plan modification, management approval for depth extensions",Active
DR-024,Operational,Severe weather impact on operations,0,0,Surface,Low,Medium,Low,"Weather monitoring, securing equipment procedure","Suspend operations if necessary, secure well and equipment",Active
DR-025,Cementing,Poor cement job on production casing,0,12550,All Sections,Low,High,Medium,"Proper hole cleaning and conditioning, centralization plan, cement design","CBL/VDL evaluation, remedial cement job if necessary",Active
DR-026,Cost/Schedule,Excessive NPT due to BHA trips,8000,12550,All Sections,Medium,Medium,Medium,"Thorough BHA planning, quality components, proper maintenance","Optimize tripping procedures, parallel operations where possible",Active
DR-027,Cost/Schedule,Extended drilling time in curve section,5000,8000,Build Section,Medium,Medium,Medium,"Optimize BHA and parameters, careful monitoring of progress","Evaluate cost/benefit of continuing vs. redesigning BHA",Active
DR-028,Personnel,Safety incident during rig floor operations,0,12550,All Sections,Low,High,Medium,"Safety training, JSA process, proper supervision, stop work authority","Emergency response plan, medical evacuation procedures",Active
DR-029,Personnel,Personnel competency gaps,0,12550,All Sections,Low,Medium,Low,"Pre-job training, competency assessment, supervision","Provide additional supervision, replace personnel if necessary",Active
DR-030,Logistics,Critical equipment delivery delays,0,12550,All Sections,Medium,Medium,Medium,"Advance planning, backup vendors, spare parts inventory","Alternative sourcing options, temporary solutions, plan modifications",Active 
